	Num	Sequence	Age	Class
1333	1334	00000000000000000100 01000000000000000000 00000000000000010000 00000000000010000000 00000000000001000000 00000000000001000000 00000000000000000010 00010000000000000000 00000000100000000000 01000000000000000000 00000000001000000000 00000000000100000000 00000000100000000000 00100000000000000000	41	0 0 0 0 0 1 0 0
1334	1335	00000000000000100000 00010000000000000000 00000000000001000000 00000100000000000000 01000000000000000000 00000000000000010000 01000000000000000000 00000000000001000000 00000010000000000000 00000000000001000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000000100000 00000000100000000000	36	0 0 0 0 0 1 0 0
1335	1336	00000000001000000000 00000000000000000100 01000000000000000000 00000000000001000000 00000000000000000100 00000000000000000001 00000000000000000010 00000000000001000000 00000000000000000100 00000000100000000000	26	0 0 0 0 0 0 1 0
1336	1337	00000000010000000000 00000000000001000000 01000000000000000000 00000000000001000000 00000000000001000000 00000000000000000010 00000000010000000000 00000000100000000000 00000000010000000000 00000000000001000000 00000000000001000000 00000000000001000000 00100000000000000000	25	0 0 0 0 0 0 0 1
1337	1338	00000000001000000000 00000000000000000100 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000100000000000 00001000000000000000 00000001000000000000 00100000000000000000	22	0 0 0 0 0 0 0 1
1338	1339	00000000001000000000 00000000000000000100 01000000000000000000 00000000000001000000 00000000000100000000 01000000000000000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000100000000 01000000000000000000 00000000001000000000 00000000000000000010 00000000000000000100 00000100000000000000 01000000000000000000 00000000000000000100 00000000000000000100 00000000000000000001 00000000001000000000 01000000000000000000 01000000000000000000	16	0 0 0 0 0 0 0 1
1339	1340	00010000000000000000 00000001000000000000 00010000000000000000 00000000000000000100 00000000001000000000 00000000000000000100 00000000000000000100 00000000100000000000 00100000000000000000	36	0 0 0 0 0 1 0 0
1340	1341	00001000000000000000 00000001000000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000000000000100 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000	42	0 0 0 0 0 1 0 0
1341	1342	01000000000000000000 00000000000000000001 00000000000001000000 00000000000000000100 00000000010000000000 00000000000000010000 00000000010000000000 00000000010000000000 00000000000000000100 00000000000000000010 00000000010000000000 00000000000000001000 00000000010000000000 00000000010000000000 00000000000000000001 00000000010000000000 00000000010000000000 00000000010000000000 00000000000000000010 00000000010000000000 00000100000000000000 00100000000000000000	25	0 0 0 0 0 0 0 1
1342	1343	00010000000000000000 00000000001000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000000001000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000001000000 00000000000000000010 00000000000001000000 00000000000001000000 00000000000001000000 00000000100000000000	28	0 0 0 0 0 0 1 0
1343	1344	00000000000001000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000010000000000 00000000010000000000 00000000000010000000 00000000100000000000 00100000000000000000	41	0 0 0 0 0 1 0 0
1344	1345	00000000010000000000 00000000010000000000 00000000000000000010 00000000010000000000 00000010000000000000 00000000010000000000 00000000100000000000 00000000010000000000 00000000010000000000 00000010000000000000 00000000010000000000 00000000000000001000 00000000000001000000 00000000100000000000 00000000010000000000 00100000000000000000	28	0 0 0 0 0 0 1 0
1345	1346	00000000000001000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000001000000 00000000000100000000 01000000000000000000 00000000000001000000 00000000100000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00100000000000000000	52	0 0 0 0 1 0 0 0
1346	1347	00000000001000000000 01000000000000000000 00000000000001000000 00000000000001000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000000001000000	33	0 0 0 0 0 0 1 0
1347	1348	00000000000001000000 00000000100000000000 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000100000000000 00000000010000000000 00000000010000000000 00000000000001000000 00000000000001000000 00000000100000000000 00100000000000000000	52	0 0 0 0 1 0 0 0
1348	1349	00000000000000010000 00000000000000000001 00000000000001000000 00100000000000000000	45	0 0 0 0 0 1 0 0
1349	1350	00010000000000000000 00000000010000000000 00000000001000000000 01000000000000000000 00000000001000000000	27	0 0 0 0 0 0 1 0
1350	1351	00000000001000000000 00000000000000000100 00000000000000000100 01000000000000000000 00000000000000010000 00000000000010000000 00000000000001000000 01000000000000000000 00000000000000000010 00000000000001000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000	27	0 0 0 0 0 0 1 0
1351	1352	01000000000000000000 01000000000000000000 00000000000100000000 00000000000000000010 00010000000000000000 00000000000000001000 00000000000000010000 00000000010000000000 00000000010000000000 00000000100000000000 00100000000000000000	21	0 0 0 0 0 0 0 1
1352	1353	01000000000000000000 00000000001000000000 00010000000000000000 00000000000000000010 01000000000000000000 00000000000000000001 00000000000001000000 00000000100000000000 00000000000000001000 00000000000000000100 00000000000000000001 00000000000001000000 00000000100000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000100 00000000100000000000 00001000000000000000 00000001000000000000 00100000000000000000	30	0 0 0 0 0 0 1 0
1353	1354	00010000000000000000 00000000010000000000 00000000010000000000 00000000000001000000 00000000000000000001 01000000000000000000 00000000000000000100 00000000001000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000000000100 00000000100000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000	19	0 0 0 0 0 0 0 1
1354	1355	00000000000000010000 00000000000001000000 00000000000000000001 01000000000000000000 00000000000000010000 00000000000010000000 00000000000001000000	32	0 0 0 0 0 0 1 0
1355	1356	00000000001000000000 00000000000000001000 01000000000000000000 00000000100000000000 00000000010000000000 00000000000001000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000010000000000 00000000000000000010 00000000000001000000 00000000000001000000 00000000001000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000001000000000 00000000000000010000 00000000000001000000	20	0 0 0 0 0 0 0 1
1356	1357	01000000000000000000 00000000000001000000 00000000000000000010 00000000000001000000 00000000000001000000 00000000000000000010 00000000010000000000 00100000000000000000	24	0 0 0 0 0 0 0 1
1357	1358	00010000000000000000 00000000000000000010 00000000000001000000 00000000100000000000 00000000000001000000 00000000100000000000 00000000000001000000 00000000100000000000 00000000000001000000 00000000100000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000000001000000 00000100000000000000 00000000000100000000 00000000000000000001 01000000000000000000 01000000000000000000 00000000000100000000 00000000000001000000 00000000000000001000 00000000000001000000 00000000100000000000	28	0 0 0 0 0 0 1 0
1358	1359	00010000000000000000 00000000010000000000 01000000000000000000 00000000000000000010 00000000010000000000	25	0 0 0 0 0 0 0 1
1359	1360	00000000000001000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000000100000000 01000000000000000000 00000000010000000000 00000000010000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000000010 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 00000000001000000000 01000000000000000000 00000000000000000100	37	0 0 0 0 0 1 0 0
1360	1361	00000000000001000000 00000000100000000000 00000000010000000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000010000000000 00100000000000000000	31	0 0 0 0 0 0 1 0
1361	1362	00000000000000010000 00000100000000000000 00000000100000000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000000000000001 00000000100000000000 00000000100000000000 00000000100000000000 00000001000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000000000001000000 00100000000000000000	43	0 0 0 0 0 1 0 0
1362	1363	00000000000001000000 00000000000001000000 00000000000000000001 01000000000000000000 00000000000000000001 00000000000001000000 00000000000001000000 00000000000001000000 00000000000000000001 01000000000000000000 00000000000001000000 00000000000001000000 00000000000000000010 00000000000001000000 00000000000000000001 00000000000001000000 00000000000000000001 00000000000001000000 00000000000001000000 00000000000000000100 00100000000000000000	32	0 0 0 0 0 0 1 0
1363	1364	00010000000000000000 00000000001000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000100000000000 00000000000000000001 00000000000001000000 00000000000000001000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000100000000000 00000100000000000000 00000001000000000000 00001000000000000000	65	0 0 0 1 0 0 0 0
1364	1365	00001000000000000000 00000000010000000000 00000000000001000000 00000000010000000000	31	0 0 0 0 0 0 1 0
1365	1366	00000000001000000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000000001000 00000000001000000000 01000000000000000000 00000000000100000000 01000000000000000000	49	0 0 0 0 1 0 0 0
1366	1367	00000000000000010000 00000000000000000001 00000000000001000000 01000000000000000000 00000000000001000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000100000000000 00100000000000000000	18	0 0 0 0 0 0 0 1
1367	1368	00010000000000000000 00000001000000000000 00010000000000000000 00000000000000100000 00000000100000000000 00000000000000000001 00000000100000000000 00000100000000000000	28	0 0 0 0 0 0 1 0
1368	1369	00010000000000000000 00000000001000000000 00000000000000000100 01000000000000000000 00000000001000000000 00000000000000001000 00000000001000000000 00000000000000000100 01000000000000000000 00000000001000000000 00000000000100000000 01000000000000000000 00000000000000000010 00000000001000000000 01000000000000000000 00000000000000000100 00000000000000000001 00000000000000000010 00000000001000000000 00000000000000001000 00000000000000000010 00000000001000000000 01000000000000000000 00000000001000000000 00000000000001000000 00000000000000001000 00000000000001000000 00000000100000000000 10000000000000000000	32	0 0 0 0 0 0 1 0
1369	1370	00000000100000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000000010000000000 00000000000001000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000001000000 00000100000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00000100000000000000 00000000001000000000 01000000000000000000 00000000100000000000 00000000100000000000 00000000000000000001 00000000000001000000 00000100000000000000 00000000010000000000 00000000000001000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000000100000000000	24	0 0 0 0 0 0 0 1
1370	1371	00000000001000000000 01000000000000000000 00000000010000000000	23	0 0 0 0 0 0 0 1
1371	1372	00000000000000000001 00000000000000000010 00000000000000010000 00000000000001000000 00000000100000000000 00100000000000000000	28	0 0 0 0 0 0 1 0
1372	1373	00000000000000000100 00000000000001000000 01000000000000000000 01000000000000000000 00000000000001000000 00000000000001000000 00000000000000001000 00000000000001000000 00000000000000000010 00000000000001000000 00100000000000000000	21	0 0 0 0 0 0 0 1
1373	1374	00100000000000000000	17	0 0 0 0 0 0 0 1
1374	1375	00000000000000000001 00000000000001000000 01000000000000000000 00000000100000000000 00000000100000000000 00000000100000000000 00001000000000000000 00000000000001000000 00000000000001000000 01000000000000000000 00000000001000000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000000000010 00001000000000000000 00000001000000000000 00100000000000000000	30	0 0 0 0 0 0 1 0
1375	1376	00000100000000000000 01000000000000000000 00000000001000000000 00000000000000000010 00000000010000000000 00000100000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00100000000000000000	27	0 0 0 0 0 0 1 0
1376	1377	00000000000000000001 00000000000001000000 00000000000000000010 00000000010000000000 00000100000000000000 00000000100000000000 00000000000010000000 00000000000001000000 00000000100000000000 00000000000010000000 00000000000001000000 00000000100000000000 01000000000000000000 00000000001000000000 00000000000000000010 00100000000000000000	20	0 0 0 0 0 0 0 1
1377	1378	00010000000000000000 00000000000000000100 00000000000000010000 01000000000000000000 00000000000000000001 00000000000000000100 01000000000000000000 00000000001000000000	58	0 0 0 1 0 0 0 0
1378	1379	00000000000000000001 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000	32	0 0 0 0 0 0 1 0
1379	1380	00010000000000000000 01000000000000000000	32	0 0 0 0 0 0 1 0
1380	1381	00000000000000000010 00000000000000000010 00010000000000000000 00000000000100000000 01000000000000000000 00000000000001000000 00000000000000001000 00000000000001000000 00000000100000000000 00000000000001000000 00001000000000000000 00000000100000000000 00001000000000000000 00000000100000000000 00001000000000000000 00000000000000001000 00001000000000000000 00000001000000000000 00010000000000000000	27	0 0 0 0 0 0 1 0
1381	1382	00000000001000000000 01000000000000000000 00000000000000000001 00000000010000000000 00000000000000000010 00000000010000000000 00000000010000000000 00100000000000000000	19	0 0 0 0 0 0 0 1
1382	1383	01000000000000000000 00000000000100000000 00000000000000000001 00001000000000000000 00000001000000000000 00100000000000000000	23	0 0 0 0 0 0 0 1
1383	1384	00010000000000000000 00000001000000000000 01000000000000000000 00000000000010000000 00000000000001000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000000001000 00000000001000000000 01000000000000000000 01000000000000000000 00000000001000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000000000000010 00000000000000000100 01000000000000000000 00000000001000000000 01000000000000000000 00000000000000000001 00000000000000000010 00000000000001000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000000001000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000	40	0 0 0 0 0 1 0 0
1384	1385	00010000000000000000 00000000000001000000 00000000000100000000 01000000000000000000 00000000100000000000 00000000100000000000	59	0 0 0 1 0 0 0 0
1385	1386	00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000000000000010000 00000000000001000000 01000000000000000000 01000000000000000000 00000000000000000001 00000000100000000000 00000000000000000100 00000000001000000000 01000000000000000000 01000000000000000000 01000000000000000000 01000000000000000000 00000000000100000000 00000000100000000000	31	0 0 0 0 0 0 1 0
1386	1387	00010000000000000000 00000000010000000000 01000000000000000000 00000000001000000000 00000000100000000000	58	0 0 0 1 0 0 0 0
1387	1388	00010000000000000000 01000000000000000000 00000000000000000100 00000000001000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000	32	0 0 0 0 0 0 1 0
1388	1389	00010000000000000000 00000001000000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000000010000 00000000010000000000 00000000010000000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000001000000000 00000000100000000000 00000000010000000000 00000000100000000000 00000000000001000000 00000000000000000010 00000000000001000000	48	0 0 0 0 1 0 0 0
1389	1390	00000000100000000000 00000000000000000001 00000000000001000000 00000000000000001000 00000000001000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000000000010 00000000100000000000 00000000100000000000 00000000000010000000 00000010000000000000 00000000000010000000 00000010000000000000 00000000000010000000 00000000000000000001 01000000000000000000 00000000000010000000 00000000000000000001 00000000000001000000 00000000100000000000 00000000100000000000 01000000000000000000 00000100000000000000 00000100000000000000 00000001000000000000 00100000000000000000	28	0 0 0 0 0 0 1 0
1390	1391	00010000000000000000 00000001000000000000 00000000000000010000 00000000000001000000 01000000000000000000 00000000000000000001 00000000000000010000 00000000000010000000 00000000000001000000 00100000000000000000	55	0 0 0 0 1 0 0 0
1391	1392	00010000000000000000 00000000000000000100 01000000000000000000 00000000000010000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000010000000000 00000000100000000000 00000000000000001000 00000000000000100000 00000000010000000000 01000000000000000000 00000000000000000100 00000000000000000001	28	0 0 0 0 0 0 1 0
1392	1393	00000000100000000000 00000000100000000000 00000000000000010000 00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000000000000100 01000000000000000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000001000000 00000000000000001000 00000000100000000000 00100000000000000000	31	0 0 0 0 0 0 1 0
1393	1394	00000000001000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000000000000010 00000000001000000000 01000000000000000000 00000000000000000100 00000000000000000100 00000000000000000010 00000000000000000001 00000000000001000000 00100000000000000000	34	0 0 0 0 0 0 1 0
1394	1395	00000000010000000000 00000000000001000000 00000000000001000000 00010000000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00100000000000000000	31	0 0 0 0 0 0 1 0
1395	1396	00000000000001000000 00001000000000000000 01000000000000000000 01000000000000000000 00000000100000000000 00000000000000000100 00000000000000000010 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	44	0 0 0 0 0 1 0 0
1396	1397	00010000000000000000 01000000000000000000 00000000000001000000 00000000000000000100 01000000000000000000 01000000000000000000 00000000000001000000 00000000000000000010 00000000000001000000 00000000000000001000 00000000000001000000	46	0 0 0 0 1 0 0 0
1397	1398	00010000000000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000001000000 00000000000000000010 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000100000	22	0 0 0 0 0 0 0 1
1398	1399	01000000000000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000010000000000 00000000000001000000 00000000000000000100 00100000000000000000	26	0 0 0 0 0 0 1 0
1399	1400	00000100000000000000 00000000001000000000 01000000000000000000 00000000001000000000 01000000000000000000 00000000010000000000 00000000000000000100 00000000000000000010 00000000000000010000 00000000010000000000 00000000000010000000 00000000010000000000 00000000100000000000 00000100000000000000 00000001000000000000 00000100000000000000 01000000000000000000 00000000000000010000 00000000010000000000 00000000010000000000 00000000000001000000 00000000000000000100 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	30	0 0 0 0 0 0 1 0
1400	1401	00000000010000000000 00000000000001000000 00000000000001000000 00010000000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00100000000000000000	27	0 0 0 0 0 0 1 0
1401	1402	00000000000000000100 00000000001000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000001000000000 00000000000000010000 00000000000000000010 00000000000000010000 00000000000000000001 00000000000001000000 00000000000100000000 01000000000000000000 00000000001000000000 00000000100000000000 00100000000000000000	24	0 0 0 0 0 0 0 1
1402	1403	01000000000000000000 00000000000000000010 00000000001000000000 00000000000001000000 00000000100000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000010000000000 00000000000000000010 00000000000000010000 00001000000000000000 00000000100000000000 00000000010000000000 00000000000000000010 00000000010000000000 00000000100000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	40	0 0 0 0 0 1 0 0
1403	1404	00000000100000000000 00000000100000000000 00000000100000000000 00000000000000010000 00000000010000000000 00000000010000000000 00000000100000000000 00000000100000000000 00000000000000000010 00010000000000000000 00000000100000000000 00100000000000000000	39	0 0 0 0 0 1 0 0
1404	1405	00000000000000000001 00000000000001000000 00000000000000000010 00000000000001000000 01000000000000000000 00000000000000000010 00000100000000000000 00000100000000000000	27	0 0 0 0 0 0 1 0
1405	1406	00010000000000000000 00000000001000000000 01000000000000000000 00000000000000000100 00000000000000000010 00000000001000000000 01000000000000000000 00000000000100000000 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000001000000 00000000010000000000 00000100000000000000	24	0 0 0 0 0 0 0 1
1406	1407	01000000000000000000 00000000000000000010 00000000000000010000 00000000000000000001 00000100000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000100000000000000 00000001000000000000 00100000000000000000	25	0 0 0 0 0 0 0 1
1407	1408	00010000000000000000 00000000000000000001	32	0 0 0 0 0 0 1 0
1408	1409	00010000000000000000 00000000010000000000 00000000000000000010 01000000000000000000 00000000000000010000 00000000000001000000 00000000000001000000 00000000010000000000 00000000100000000000 00000000000000000001 00000000000100000000 01000000000000000000 00000000001000000000 00000000000000000100 00000000000000000010 00000000010000000000 00000000100000000000	22	0 0 0 0 0 0 0 1
1409	1410	00000000000000010000 00000000000000000001 00000000000001000000 00000000100000000000 00001000000000000000 00000000000000000010 00010000000000000000 00000000100000000000 00000000000001000000 00000000000000000010 00000100000000000000 00000100000000000000	21	0 0 0 0 0 0 0 1
1410	1411	00010000000000000000 00000000000001000000 00000000000001000000 00000000000001000000 00000000000001000000 00000000000001000000 00000000000001000000 00000000000001000000 00000000100000000000 00000000010000000000 00000000000001000000 00000000000000000001 00000000000001000000 00000000000001000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000010000000000 00100000000000000000	32	0 0 0 0 0 0 1 0
1411	1412	00010000000000000000 00000001000000000000 00010000000000000000 00000000010000000000 00000000100000000000 00000000000000000010 00000000000000000001 00000000000100000000 01000000000000000000 00000000000000010000 00000000000000000010 00000000000000010000 00000000100000000000 00000000000000001000 00000000000000000001 00000000000001000000 01000000000000000000 00000000000000001000 01000000000000000000 00000000000000000100 00000000000000000001 00000000000000010000 00000000000001000000 01000000000000000000 00000000001000000000 00000000001000000000 01000000000000000000	25	0 0 0 0 0 0 0 1
1412	1413	00000000010000000000 00000000100000000000 00000000000010000000 00000000100000000000 00000001000000000000 00100000000000000000	23	0 0 0 0 0 0 0 1
1413	1414	01000000000000000000 00000000000000010000 00000000000000000001 00000000010000000000 00000000010000000000 00000000010000000000 00100000000000000000	32	0 0 0 0 0 0 1 0
1414	1415	00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000000000000000100 00010000000000000000 00000100000000000000 00000000000100000000 00000000000001000000 00000000000000000001 00000000100000000000	25	0 0 0 0 0 0 0 1
1415	1416	00000000000000000001 00000000000001000000 00000000100000000000 00000100000000000000 00000001000000000000 00100000000000000000	84	0 1 0 0 0 0 0 0
1416	1417	00010000000000000000 00000000010000000000 00000000010000000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000000000001000 00000000000001000000 00000000000000000010 00000000000001000000 00000000100000000000	23	0 0 0 0 0 0 0 1
1417	1418	00000000010000000000 00000000010000000000 00000010000000000000 00000000010000000000 00000000000001000000 00000000000001000000 01000000000000000000 01000000000000000000 00000000000010000000 00000000000001000000 00000000000000000010 00000000000000010000 00000000000000000001 00000000000001000000 01000000000000000000 00000000000000000100 00000000000000000010 00000000000000000100 01000000000000000000 00000000001000000000 00000000000100000000 00000000100000000000 00100000000000000000	26	0 0 0 0 0 0 1 0
1418	1419	00010000000000000000 00000000100000000000 01000000000000000000 00000000000000010000 00000000000100000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000001000000000000 00100000000000000000	27	0 0 0 0 0 0 1 0
1419	1420	00000000000001000000 01000000000000000000 00000000100000000000 00000000000000000100 00000000000000000100 00000000001000000000 01000000000000000000 00000000000000000001 00000000100000000000 00100000000000000000	49	0 0 0 0 1 0 0 0
1420	1421	00000000000000000100 00000000001000000000 01000000000000000000 00000000000000000010 00000100000000000000 00000000000000100000 00000000000000000100 00000000000000000100 00000000000000000100 00000000100000000000 00000000000001000000 00000000010000000000 00000000000001000000 00000000000001000000 00000000000001000000 00000000000000000010 00000000001000000000 01000000000000000000 00000000000000100000 00000000000000100000 01000000000000000000 00000000000000100000 00000000000000100000 00000000000000100000 00000000000000001000 01000000000000000000 00000000000000000010 00000000000001000000 00000000000000000010 00000000000000000010 00000000000001000000 00000100000000000000	21	0 0 0 0 0 0 0 1
1421	1422	00000000000010000000 00000000000001000000 01000000000000000000 00000000001000000000 00000000100000000000 00000000000000000100 01000000000000000000 00000000000000000010 00100000000000000000	20	0 0 0 0 0 0 0 1
1422	1423	00000000000000000001 00000000000000000001 00000000000001000000 00000000000001000000 00000000100000000000 00100000000000000000	55	0 0 0 0 1 0 0 0
1423	1424	00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000000000000010000 01000000000000000000 00000000001000000000 00000100000000000000	52	0 0 0 0 1 0 0 0
1424	1425	00000000000000010000 00000000000001000000 00000000000001000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000100000000000000 00000100000000000000	22	0 0 0 0 0 0 0 1
1425	1426	00000000010000000000 00000000000000000010 00000000010000000000 00000000100000000000 00000000010000000000 00000000000000010000 00000000010000000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000100000000000 00000000010000000000 00000000100000000000 00100000000000000000	44	0 0 0 0 0 1 0 0
1426	1427	01000000000000000000 00000000001000000000 01000000000000000000 00000100000000000000 00000000010000000000 00000000010000000000 00000100000000000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000000000000010 00001000000000000000 00000000100000000000 00001000000000000000 00000001000000000000 00100000000000000000	28	0 0 0 0 0 0 1 0
1427	1428	00010000000000000000 00000001000000000000 00010000000000000000 00000000000000000100 00000000000001000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000100000000000000 00000000000100000000 00000000000001000000 00000000000001000000 00000000000000000001 00000000000000000100 00000000000100000000 01000000000000000000 00000000000000000001 00000000000000010000 00000000000001000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000010000000 00000000100000000000	27	0 0 0 0 0 0 1 0
1428	1429	00001000000000000000 00000000010000000000 00000000100000000000 00000000000001000000 00000000000000001000 00000000000001000000 00000000000000000010 00000000000001000000 01000000000000000000 00000000010000000000 00000000100000000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000100000000000 00100000000000000000	26	0 0 0 0 0 0 1 0
1429	1430	00000000000000000100 00000000000010000000 00000000000001000000 01000000000000000000 00000000000100000000 00010000000000000000 00000001000000000000 00000100000000000000 00000100000000000000 00000100000000000000	26	0 0 0 0 0 0 1 0
1430	1431	00010000000000000000 00000000000000000100 00000000100000000000 00000000000000000001 00000000000001000000 00000000010000000000 00000000000000000010	38	0 0 0 0 0 1 0 0
1431	1432	01000000000000000000 00010000000000000000 00000001000000000000 00000000010000000000 00000000010000000000 01000000000000000000 00000000001000000000 00000000000000000010 00000000010000000000 00000000010000000000 00100000000000000000	21	0 0 0 0 0 0 0 1
1432	1433	01000000000000000000 00000000001000000000 00000000000000000010 00000000000000000001 00000000000000010000 00000000000001000000 00000000000000000001 00000000000000000001 00000000000001000000 00000100000000000000 00000100000000000000 00000000010000000000 00000000000000000010 00000000000001000000 00000000100000000000 00000000000000000100 00000000001000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000000000000100 00000000000000000010 00000000010000000000 00000000100000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000001000000000 00100000000000000000	22	0 0 0 0 0 0 0 1
1433	1434	00010000000000000000 00000001000000000000 00010000000000000000 00000000000000010000 00000000000001000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000 00000000000001000000 00000000000000000010 00000000000000000001 00000000000000000001 00000000000001000000 01000000000000000000 00000000000000000010 00000000100000000000 00000000000000000100 00000000100000000000 00000000100000000000 00000000100000000000	31	0 0 0 0 0 0 1 0
1434	1435	00000000010000000000 00000000000100000000 00000000010000000000 01000000000000000000 00000000000000000100 00000000100000000000 00000100000000000000 00000100000000000000 00000000000000000001 00000000000001000000 00000000000001000000 01000000000000000000 00000000000000000100 00000000000000000001 00000100000000000000 00000100000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	37	0 0 0 0 0 1 0 0
